,tokens,pos_tags
10,"['Balcor', ',', 'which', 'has', 'interests', 'in', 'real', 'estate', ',', 'said', 'the', 'position', 'is', 'newly', 'created', '.']","['NNP', ',', 'WDT', 'VBZ', 'NNS', 'IN', 'JJ', 'NN', ',', 'VBD', 'DT', 'NN', 'VBZ', 'RB', 'VBN', '.']"
11,"['Mr.', 'Meador', 'had', 'been', 'executive', 'vice', 'president', 'of', 'Balcor', '.']","['NNP', 'NNP', 'VBD', 'VBN', 'JJ', 'NN', 'NN', 'IN', 'NNP', '.']"
12,"['In', 'addition', 'to', 'his', 'previous', 'real-estate', 'investment', 'and', 'asset-management', 'duties', ',', 'Mr.', 'Meador', 'takes', 'responsibility', 'for', 'development', 'and', 'property', 'management', '.']","['IN', 'NN', 'TO', 'PRP$', 'JJ', 'NN', 'NN', 'CC', 'NN', 'NNS', ',', 'NNP', 'NNP', 'VBZ', 'NN', 'IN', 'NN', 'CC', 'NN', 'NN', '.']"
13,"['Those', 'duties', 'had', 'been', 'held', 'by', 'Van', 'Pell', ',', '44', ',', 'who', 'resigned', 'as', 'an', 'executive', 'vice', 'president', '.']","['DT', 'NNS', 'VBD', 'VBN', 'VBN', 'IN', 'NNP', 'NNP', ',', 'CD', ',', 'WP', 'VBD', 'IN', 'DT', 'JJ', 'NN', 'NN', '.']"
14,"['Shearson', 'is', 'about', '60%-held', 'by', 'American', 'Express', 'Co', '.']","['NNP', 'VBZ', 'IN', 'JJ', 'IN', 'NNP', 'NNP', 'NNP', '.']"
15,"['Great', 'American', 'Bank', ',', 'citing', 'depressed', 'Arizona', 'real', 'estate', 'prices', ',', 'posted', 'a', 'third-quarter', 'loss', 'of', '$', '59.4', 'million', ',', 'or', '$', '2.48', 'a', 'share', '.']","['NNP', 'NNP', 'NNP', ',', 'VBG', 'JJ', 'NNP', 'JJ', 'NN', 'NNS', ',', 'VBD', 'DT', 'JJ', 'NN', 'IN', '$', 'CD', 'CD', ',', 'CC', '$', 'CD', 'DT', 'NN', '.']"
16,"['A', 'year', 'earlier', ',', 'the', 'savings', 'bank', 'had', 'earnings', 'of', '$', '8.1', 'million', ',', 'or', '33', 'cents', 'a', 'share', '.']","['DT', 'NN', 'RBR', ',', 'DT', 'NNS', 'VBP', 'VBD', 'NNS', 'IN', '$', 'CD', 'CD', ',', 'CC', 'CD', 'NNS', 'DT', 'NN', '.']"
17,"['For', 'the', 'nine', 'months', ',', 'it', 'had', 'a', 'loss', 'of', '$', '58.3', 'million', ',', 'or', '$', '2.44', 'a', 'share', ',', 'after', 'earnings', 'of', '$', '29.5', 'million', ',', 'or', '$', '1.20', 'a', 'share', ',', 'in', 'the', '1988', 'period', '.']","['IN', 'DT', 'CD', 'NNS', ',', 'PRP', 'VBD', 'DT', 'NN', 'IN', '$', 'CD', 'CD', ',', 'CC', '$', 'CD', 'DT', 'NN', ',', 'IN', 'NNS', 'IN', '$', 'CD', 'CD', ',', 'CC', '$', 'CD', 'DT', 'NN', ',', 'IN', 'DT', 'CD', 'NN', '.']"
18,"['Great', 'American', 'said', 'it', 'increased', 'its', 'loan-loss', 'reserves', 'by', '$', '93', 'million', 'after', 'reviewing', 'its', 'loan', 'portfolio', ',', 'raising', 'its', 'total', 'loan', 'and', 'real', 'estate', 'reserves', 'to', '$', '217', 'million', '.']","['NNP', 'NNP', 'VBD', 'PRP', 'VBD', 'PRP$', 'NN', 'NNS', 'IN', '$', 'CD', 'CD', 'IN', 'VBG', 'PRP$', 'NN', 'NN', ',', 'VBG', 'PRP$', 'JJ', 'NN', 'CC', 'JJ', 'NN', 'NNS', 'TO', '$', 'CD', 'CD', '.']"
19,"['Before', 'the', 'loan-loss', 'addition', ',', 'it', 'said', ',', 'it', 'had', 'operating', 'profit', 'of', '$', '10', 'million', 'for', 'the', 'quarter', '.']","['IN', 'DT', 'NN', 'NN', ',', 'PRP', 'VBD', ',', 'PRP', 'VBD', 'VBG', 'NN', 'IN', '$', 'CD', 'CD', 'IN', 'DT', 'NN', '.']"
20,"['The', 'move', 'followed', 'a', 'round', 'of', 'similar', 'increases', 'by', 'other', 'lenders', 'against', 'Arizona', 'real', 'estate', 'loans', ',', 'reflecting', 'a', 'continuing', 'decline', 'in', 'that', 'market', '.']","['DT', 'NN', 'VBD', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'JJ', 'NNS', 'IN', 'NNP', 'JJ', 'NN', 'NNS', ',', 'VBG', 'DT', 'VBG', 'NN', 'IN', 'DT', 'NN', '.']"
21,"['In', 'addition', 'to', 'the', 'increased', 'reserve', ',', 'the', 'savings', 'bank', 'took', 'a', 'special', 'charge', 'of', '$', '5', 'million', 'representing', 'general', 'and', 'administrative', 'expenses', 'from', 'staff', 'reductions', 'and', 'other', 'matters', ',', 'and', 'it', 'posted', 'a', '$', '7.6', 'million', 'reduction', 'in', 'expected', 'mortgage', 'servicing', 'fees', ',', 'reflecting', 'the', 'fact', 'that', 'more', 'borrowers', 'are', 'prepaying', 'their', 'mortgages', '.']","['IN', 'NN', 'TO', 'DT', 'VBN', 'NN', ',', 'DT', 'NNS', 'VBP', 'VBD', 'DT', 'JJ', 'NN', 'IN', '$', 'NN', 'CD', 'VBG', 'JJ', 'CC', 'JJ', 'NNS', 'IN', 'NN', 'NNS', 'CC', 'JJ', 'NNS', ',', 'CC', 'PRP', 'VBD', 'DT', '$', 'CD', 'CD', 'NN', 'IN', 'VBN', 'NN', 'NN', 'NNS', ',', 'VBG', 'DT', 'NN', 'IN', 'JJR', 'NNS', 'VBP', 'VBG', 'PRP$', 'NNS', '.']"
22,"['Arbitragers', 'were', ""n't"", 'the', 'only', 'big', 'losers', 'in', 'the', 'collapse', 'of', 'UAL', 'Corp.', 'stock', '.']","['NNS', 'VBD', 'RB', 'DT', 'RB', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'NN', '.']"
23,"['Look', 'at', 'what', 'happened', 'to', 'UAL', ""'s"", 'chairman', ',', 'Stephen', 'M.', 'Wolf', ',', 'and', 'its', 'chief', 'financial', 'officer', ',', 'John', 'C.', 'Pope', '.']","['VB', 'IN', 'WP', 'VBD', 'TO', 'NNP', 'POS', 'NN', ',', 'NNP', 'NNP', 'NNP', ',', 'CC', 'PRP$', 'JJ', 'JJ', 'NN', ',', 'NNP', 'NNP', 'NNP', '.']"
24,"['On', 'a', 'day', 'some', 'United', 'Airlines', 'employees', 'wanted', 'Mr.', 'Wolf', 'fired', 'and', 'takeover', 'stock', 'speculators', 'wanted', 'his', 'scalp', ',', 'Messrs.', 'Wolf', 'and', 'Pope', 'saw', 'their', 'prospective', 'personal', 'fortunes', 'continue', 'to', 'plummet', 'as', 'shares', 'of', 'UAL', ',', 'United', ""'s"", 'parent', 'company', ',', 'dived', '$', '24.875', 'on', 'the', 'Big', 'Board', 'to', 'close', 'at', '$', '198', '.']","['IN', 'DT', 'NN', 'DT', 'NNP', 'NNPS', 'NNS', 'VBD', 'NNP', 'NNP', 'VBD', 'CC', 'NN', 'NN', 'NNS', 'VBD', 'PRP$', 'NN', ',', 'NNP', 'NNP', 'CC', 'NNP', 'VBD', 'PRP$', 'JJ', 'JJ', 'NNS', 'VBP', 'TO', 'VB', 'IN', 'NNS', 'IN', 'NNP', ',', 'NNP', 'POS', 'NN', 'NN', ',', 'VBD', '$', 'CD', 'IN', 'DT', 'NNP', 'NNP', 'TO', 'VB', 'IN', '$', 'CD', '.']"
25,"['Including', 'Monday', ""'s"", 'plunge', ',', 'that', 'has', 'given', 'the', 'two', 'executives', 'paper', 'losses', 'of', '$', '49.5', 'million', ',', 'based', 'on', 'what', 'they', 'would', 'have', 'realized', 'had', 'the', 'pilots', 'and', 'management-led', 'buy-out', 'of', 'UAL', 'gone', 'through', 'at', '$', '300', 'a', 'share', '.']","['VBG', 'NNP', 'POS', 'NN', ',', 'WDT', 'VBZ', 'VBN', 'DT', 'CD', 'NNS', 'NN', 'NNS', 'IN', '$', 'CD', 'CD', ',', 'VBN', 'IN', 'WP', 'PRP', 'MD', 'VB', 'VBN', 'VBN', 'DT', 'NNS', 'CC', 'JJ', 'NN', 'IN', 'NNP', 'VBN', 'IN', 'IN', '$', 'CD', 'DT', 'NN', '.']"
26,"['When', 'bank', 'financing', 'for', 'the', 'buy-out', 'collapsed', 'last', 'week', ',', 'so', 'did', 'UAL', ""'s"", 'stock', '.']","['WRB', 'NN', 'NN', 'IN', 'DT', 'NN', 'VBD', 'JJ', 'NN', ',', 'RB', 'VBD', 'NNP', 'POS', 'NN', '.']"
27,"['Even', 'if', 'the', 'banks', 'resurrect', 'a', 'financing', 'package', 'at', '$', '250', 'a', 'share', ',', 'the', 'two', 'executives', 'would', 'still', 'get', 'about', '$', '25', 'million', 'less', 'than', 'they', 'stood', 'to', 'gain', 'in', 'the', 'initial', 'transaction', '.']","['RB', 'IN', 'DT', 'NNS', 'VBP', 'DT', 'NN', 'NN', 'IN', '$', 'CD', 'DT', 'NN', ',', 'DT', 'CD', 'NNS', 'MD', 'RB', 'VB', 'RB', '$', 'CD', 'CD', 'JJR', 'IN', 'PRP', 'VBD', 'TO', 'VB', 'IN', 'DT', 'JJ', 'NN', '.']"
28,"['Mr.', 'Wolf', 'owns', '75,000', 'UAL', 'shares', 'and', 'has', 'options', 'to', 'buy', 'another', '250,000', 'at', '$', '83.3125', 'each', '.']","['NNP', 'NNP', 'VBZ', 'CD', 'NNP', 'NNS', 'CC', 'VBZ', 'NNS', 'TO', 'VB', 'DT', 'CD', 'IN', '$', 'CD', 'DT', '.']"
29,"['In', 'the', '$', '300-a-share', 'buyout', ',', 'that', 'totaled', 'about', '$', '76.7', 'million', '.']","['IN', 'DT', '$', 'JJ', 'NN', ',', 'WDT', 'VBD', 'RB', '$', 'CD', 'CD', '.']"
30,"['By', 'yesterday', ""'s"", 'close', 'of', 'trading', ',', 'it', 'was', 'good', 'for', 'a', 'paltry', '$', '43.5', 'million', '.']","['IN', 'NN', 'POS', 'NN', 'IN', 'NN', ',', 'PRP', 'VBD', 'JJ', 'IN', 'DT', 'JJ', '$', 'CD', 'CD', '.']"
31,"['Of', 'course', ',', 'Mr.', 'Wolf', ',', '48', 'years', 'old', ',', 'has', 'some', 'savings', '.']","['IN', 'NN', ',', 'NNP', 'NNP', ',', 'CD', 'NNS', 'JJ', ',', 'VBZ', 'DT', 'NNS', '.']"
32,"['He', 'left', 'his', 'last', 'two', 'jobs', 'at', 'Republic', 'Airlines', 'and', 'Flying', 'Tiger', 'with', 'combined', 'stock-option', 'gains', 'of', 'about', '$', '22', 'million', ',', 'and', 'UAL', 'gave', 'him', 'a', '$', '15', 'million', 'bonus', 'when', 'it', 'hired', 'him', '.']","['PRP', 'VBD', 'PRP$', 'JJ', 'CD', 'NNS', 'IN', 'NNP', 'NNPS', 'CC', 'NNP', 'NNP', 'IN', 'VBN', 'NN', 'NNS', 'IN', 'RB', '$', 'CD', 'CD', ',', 'CC', 'NNP', 'VBD', 'PRP', 'DT', '$', 'CD', 'CD', 'NN', 'WRB', 'PRP', 'VBD', 'PRP', '.']"
33,"['His', '1988', 'salary', 'was', '$', '575,000', ',', 'with', 'a', '$', '575,000', 'bonus', '.']","['PRP$', 'CD', 'NN', 'VBD', '$', 'CD', ',', 'IN', 'DT', '$', 'CD', 'NN', '.']"
34,"['The', '40-year', 'old', 'Mr.', 'Pope', 'has', ""n't"", 'changed', 'jobs', 'enough', '--', 'at', 'least', 'the', 'right', 'ones', '--', 'to', 'stash', 'away', 'that', 'kind', 'of', 'money', '.']","['DT', 'JJ', 'JJ', 'NNP', 'NNP', 'VBZ', 'RB', 'VBN', 'NNS', 'RB', ':', 'IN', 'JJS', 'DT', 'NN', 'NNS', ':', 'TO', 'VB', 'RB', 'DT', 'NN', 'IN', 'NN', '.']"
35,"['United', 'paid', 'him', 'a', '$', '375,000', 'bonus', 'to', 'lure', 'him', 'away', 'from', 'American', 'Airlines', ',', 'and', 'he', 'was', 'paid', 'a', 'salary', 'of', '$', '342,122', 'last', 'year', 'with', 'a', '$', '280,000', 'bonus', '.']","['NNP', 'VBD', 'PRP', 'DT', '$', 'CD', 'NN', 'TO', 'VB', 'PRP', 'RB', 'IN', 'NNP', 'NNPS', ',', 'CC', 'PRP', 'VBD', 'VBN', 'DT', 'NN', 'IN', '$', 'CD', 'JJ', 'NN', 'IN', 'DT', '$', 'CD', 'NN', '.']"
36,"['Mr.', 'Pope', 'owns', '10,000', 'UAL', 'shares', 'and', 'has', 'options', 'to', 'buy', 'another', '150,000', 'at', '$', '69', 'each', '.']","['NNP', 'NNP', 'VBZ', 'CD', 'NNP', 'NNS', 'CC', 'VBZ', 'NNS', 'TO', 'VB', 'DT', 'CD', 'IN', '$', 'CD', 'DT', '.']"
37,"['That', 'came', 'to', 'a', 'combined', '$', '37.7', 'million', 'under', 'the', '$', '300-a-share', 'buy-out', ',', 'but', 'just', '$', '21.3', 'million', 'at', 'yesterday', ""'s"", 'close', '.']","['DT', 'VBD', 'TO', 'DT', 'VBN', '$', 'CD', 'CD', 'IN', 'DT', '$', 'JJ', 'NN', ',', 'CC', 'RB', '$', 'CD', 'CD', 'IN', 'NN', 'POS', 'NN', '.']"
38,"['Of', 'the', 'combined', '$', '114.4', 'million', 'the', 'two', 'men', 'were', 'scheduled', 'to', 'reap', 'under', 'the', 'buy-out', ',', 'they', 'agreed', 'to', 'invest', 'in', 'the', 'buy-out', 'just', '$', '15', 'million', ',', 'angering', 'many', 'of', 'the', 'thousands', 'of', 'workers', 'asked', 'to', 'make', 'pay', 'concessions', 'so', 'the', 'buy-out', 'would', 'be', 'a', 'success', '.']","['IN', 'DT', 'VBN', '$', 'CD', 'CD', 'DT', 'CD', 'NNS', 'VBD', 'VBN', 'TO', 'VB', 'IN', 'DT', 'NN', ',', 'PRP', 'VBD', 'TO', 'VB', 'IN', 'DT', 'NN', 'RB', '$', 'CD', 'CD', ',', 'VBG', 'NN', 'IN', 'DT', 'NNS', 'IN', 'NNS', 'VBD', 'TO', 'VB', 'NN', 'NNS', 'RB', 'DT', 'NN', 'MD', 'VB', 'DT', 'NN', '.']"
39,"['United', ""'s"", 'directors', 'voted', 'themselves', ',', 'and', 'their', 'spouses', ',', 'lifetime', 'access', 'to', 'the', 'Friendly', 'Skies', '--', 'free', 'first-class', 'travel', ',', 'and', '$', '20,000', 'a', 'year', 'for', 'life', 'as', 'well', '.']","['NNP', 'POS', 'NNS', 'VBD', 'PRP', ',', 'CC', 'PRP$', 'NNS', ',', 'NN', 'NN', 'TO', 'DT', 'NNP', 'NNPS', ':', 'JJ', 'JJ', 'NN', ',', 'CC', '$', 'CD', 'DT', 'NN', 'IN', 'NN', 'IN', 'RB', '.']"
40,"['Conceivably', ',', 'in', 'a', 'scaled-back', 'buy-out', ',', 'they', 'could', 'be', 'bumped', 'back', 'to', 'coach', 'seats', 'for', 'life', '.']","['RB', ',', 'IN', 'DT', 'JJ', 'NN', ',', 'PRP', 'MD', 'VB', 'VBN', 'RB', 'TO', 'NN', 'NNS', 'IN', 'NN', '.']"
41,"['Thomas', 'H.', 'Johnson', ',', 'president', 'of', 'the', 'Coatedboard', 'division', 'of', 'Mead', 'Corp.', ',', 'was', 'named', 'president', 'of', 'Manville', 'Forest', 'Products', 'Corp.', ',', 'a', 'Manville', 'unit', ',', 'and', 'senior', 'vice', 'president', 'of', 'Manville', 'Corp', '.']","['NNP', 'NNP', 'NNP', ',', 'NN', 'IN', 'DT', 'NNP', 'NN', 'IN', 'NNP', 'NNP', ',', 'VBD', 'VBN', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'DT', 'NNP', 'NN', ',', 'CC', 'JJ', 'NN', 'NN', 'IN', 'NNP', 'NNP', '.']"
42,"['Mr.', 'Johnson', 'succeeds', 'Harry', 'W.', 'Sherman', ',', 'who', 'resigned', 'to', 'pursue', 'other', 'interests', ',', 'in', 'both', 'positions', '.']","['NNP', 'NNP', 'VBZ', 'NNP', 'NNP', 'NNP', ',', 'WP', 'VBD', 'TO', 'VB', 'JJ', 'NNS', ',', 'IN', 'DT', 'NNS', '.']"
43,"['Manville', 'is', 'a', 'building', 'and', 'forest', 'products', 'concern', '.']","['NNP', 'VBZ', 'DT', 'NN', 'CC', 'NN', 'NNS', 'VBP', '.']"
44,"['US', 'Facilities', 'Corp.', 'said', 'Robert', 'J.', 'Percival', 'agreed', 'to', 'step', 'down', 'as', 'vice', 'chairman', 'of', 'the', 'insurance', 'holding', 'company', '.']","['PRP', 'NNP', 'NNP', 'VBD', 'NNP', 'NNP', 'NNP', 'VBD', 'TO', 'VB', 'RB', 'IN', 'NN', 'NN', 'IN', 'DT', 'NN', 'VBG', 'NN', '.']"
45,"['``', 'There', 'was', 'a', 'difference', 'of', 'opinion', 'as', 'to', 'the', 'future', 'direction', 'of', 'the', 'company', ',', ""''"", 'a', 'spokeswoman', 'said', '.']","['``', 'EX', 'VBD', 'DT', 'NN', 'IN', 'NN', 'IN', 'TO', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', ',', ""''"", 'DT', 'NN', 'VBD', '.']"
46,"['Mr.', 'Percival', 'declined', 'to', 'comment', '.']","['NNP', 'NNP', 'VBD', 'TO', 'VB', '.']"
47,"['In', 'a', 'statement', ',', 'US', 'Facilities', 'said', 'Mr.', 'Percival', ""'s"", 'employment', 'contract', 'calls', 'for', 'him', 'to', 'act', 'as', 'a', 'consultant', 'to', 'the', 'company', 'for', 'two', 'years', '.']","['IN', 'DT', 'NN', ',', 'PRP', 'NNPS', 'VBD', 'NNP', 'NNP', 'POS', 'NN', 'NN', 'VBZ', 'IN', 'PRP', 'TO', 'VB', 'IN', 'DT', 'NN', 'TO', 'DT', 'NN', 'IN', 'CD', 'NNS', '.']"
48,"['He', 'will', 'also', 'remain', 'a', 'director', ',', 'US', 'Facilities', 'said', ',', 'but', 'wo', ""n't"", 'serve', 'on', 'any', 'board', 'committees', '.']","['PRP', 'MD', 'RB', 'VB', 'DT', 'NN', ',', 'PRP', 'NNPS', 'VBD', ',', 'CC', 'MD', 'RB', 'VB', 'IN', 'DT', 'NN', 'NNS', '.']"
49,"['Mr.', 'Percival', 'will', 'be', 'succeeded', 'on', 'an', 'interim', 'basis', 'by', 'George', 'Kadonada', ',', 'US', 'Facilities', 'chairman', 'and', 'president', '.']","['NNP', 'NNP', 'MD', 'VB', 'VBN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'NNP', ',', 'PRP', 'NNPS', 'NN', 'CC', 'NN', '.']"
50,"['In', 'the', 'same', 'statement', ',', 'US', 'Facilities', 'also', 'said', 'it', 'had', 'bought', 'back', '112,000', 'of', 'its', 'common', 'shares', 'in', 'a', 'private', 'transaction', '.']","['IN', 'DT', 'JJ', 'NN', ',', 'PRP', 'NNPS', 'RB', 'VBD', 'PRP', 'VBD', 'VBN', 'RB', 'CD', 'IN', 'PRP$', 'JJ', 'NNS', 'IN', 'DT', 'JJ', 'NN', '.']"
51,"['Terms', 'were', ""n't"", 'disclosed', '.']","['NNS', 'VBD', 'RB', 'VBN', '.']"
52,"['The', 'buy-back', 'represents', 'about', '3', '%', 'of', 'the', 'company', ""'s"", 'shares', ',', 'based', 'on', 'the', '3.7', 'million', 'shares', 'outstanding', 'as', 'of', 'Sept.', '30', '.']","['DT', 'NN', 'VBZ', 'IN', 'CD', 'NN', 'IN', 'DT', 'NN', 'POS', 'NNS', ',', 'VBN', 'IN', 'DT', 'CD', 'CD', 'NNS', 'JJ', 'IN', 'IN', 'NNP', 'CD', '.']"
53,"['In', 'national', 'over-the-counter', 'trading', 'yesterday', ',', 'US', 'Facilities', 'closed', 'at', '$', '3.625', ',', 'unchanged', '.']","['IN', 'JJ', 'JJ', 'NN', 'NN', ',', 'PRP', 'NNPS', 'VBD', 'IN', '$', 'CD', ',', 'JJ', '.']"
54,"['Three', 'leading', 'drug', 'companies', 'reported', 'robust', 'third-quarter', 'earnings', ',', 'bolstered', 'by', 'strong', 'sales', 'of', 'newer', ',', 'big-selling', 'prescriptions', 'drugs', 'that', 'provide', 'hefty', 'profit', 'margins', '.']","['CD', 'VBG', 'NN', 'NNS', 'VBD', 'JJ', 'JJ', 'NNS', ',', 'VBN', 'IN', 'JJ', 'NNS', 'IN', 'JJR', ',', 'JJ', 'NNS', 'NNS', 'WDT', 'VBP', 'JJ', 'NN', 'NNS', '.']"
55,"['Merck', '&', 'Co.', 'reported', 'a', '25', '%', 'increase', 'in', 'earnings', ';', 'Warner-Lambert', 'Co.', ""'s"", 'profit', 'rose', '22', '%', 'and', 'Eli', 'Lilly', '&', 'Co.', ""'s"", 'net', 'income', 'rose', '24', '%', '.']","['NNP', 'CC', 'NNP', 'VBD', 'DT', 'CD', 'NN', 'NN', 'IN', 'NNS', ':', 'NNP', 'NNP', 'POS', 'NN', 'VBD', 'CD', 'NN', 'CC', 'NNP', 'NNP', 'CC', 'NNP', 'POS', 'JJ', 'NN', 'VBD', 'CD', 'NN', '.']"
56,"['The', 'results', 'were', 'in', 'line', 'with', 'analysts', ""'"", 'expectations', '.']","['DT', 'NNS', 'VBD', 'IN', 'NN', 'IN', 'NNS', 'POS', 'NNS', '.']"
57,"['Merck', '&', 'Co', '.']","['NNP', 'CC', 'NNP', '.']"
58,"['Merck', ',', 'Rahway', ',', 'N.J.', ',', 'continued', 'to', 'lead', 'the', 'industry', 'with', 'a', 'strong', 'sales', 'performance', 'in', 'the', 'human', 'and', 'animal', 'health-products', 'segment', '.']","['NNP', ',', 'NNP', ',', 'NNP', ',', 'VBD', 'TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'NN', 'IN', 'DT', 'NN', 'CC', 'NN', 'NNS', 'VBP', '.']"
59,"['A', 'stronger', 'U.S.', 'dollar', 'reduced', 'third-quarter', 'and', 'first-nine-month', 'sales', 'growth', '2', '%', 'and', '3', '%', ',', 'respectively', '.']","['DT', 'JJR', 'NNP', 'NN', 'VBD', 'JJ', 'CC', 'JJ', 'NNS', 'NN', 'CD', 'NN', 'CC', 'CD', 'NN', ',', 'RB', '.']"
60,"['International', 'sales', 'accounted', 'for', '47', '%', 'of', 'total', 'company', 'sales', 'for', 'the', 'nine', 'months', ',', 'compared', 'with', '50', '%', 'a', 'year', 'earlier', '.']","['JJ', 'NNS', 'VBD', 'IN', 'CD', 'NN', 'IN', 'JJ', 'NN', 'NNS', 'IN', 'DT', 'CD', 'NNS', ',', 'VBN', 'IN', 'CD', 'NN', 'DT', 'NN', 'RBR', '.']"
61,"['Sales', 'for', 'the', 'quarter', 'rose', 'to', '$', '1.63', 'billion', 'from', '$', '1.47', 'billion', '.']","['NNS', 'IN', 'DT', 'NN', 'VBD', 'TO', '$', 'CD', 'CD', 'IN', '$', 'CD', 'CD', '.']"
62,"['Mevacor', ',', 'Merck', ""'s"", 'new', 'cholesterol-lowering', 'drug', ',', 'had', 'higher', 'sales', 'than', 'any', 'other', 'prescription', 'medicine', 'has', 'ever', 'achieved', 'in', 'the', 'U.S.', 'in', 'the', 'year', 'following', 'introduction', ',', 'the', 'company', 'said', '.']","['NNP', ',', 'NNP', 'POS', 'JJ', 'JJ', 'NN', ',', 'VBD', 'JJR', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'NN', 'VBZ', 'RB', 'VBN', 'IN', 'DT', 'NNP', 'IN', 'DT', 'NN', 'VBG', 'NN', ',', 'DT', 'NN', 'VBD', '.']"
